gene,log2FoldChange,padj
PA2069,-3.00910606559443,1.24865431711931e-13
PA4015,-1.54983877227902,1.60038067966519e-13
PA2698,-2.33726139228842,1.79348928671414e-13
PA1204,-1.68985277775145,2.1322179319602e-13
PA2544,-1.6946455951508,2.26122662714051e-13
PA5496,-1.65983692851445,5.67721271532401e-13
PA0383,1.75621738243351,6.6255993656997e-13
PA3419,-1.78826947230756,1.16434038858661e-12
PA5206,-1.31221297708766,1.53295641301909e-12
PA1217,-2.32933617727857,1.58950649318891e-12
PA1828,-1.30602986387982,1.72506741022739e-12
PA4140,-1.94272227426501,1.72506741022739e-12
PA4192,1.51023197647393,1.82926580799318e-12
PA4635,2.82667943711354,1.87197344079267e-12
PA4190,-1.82798389052036,2.09375173825187e-12
PA2193,-1.69312292889458,2.57914169708257e-12
PA1376,-1.5385420714423,2.95834145252969e-12
PA0023,-1.37117302946926,3.01860258055804e-12
PA3195,-1.05495203097171,3.17933374654172e-12
PA1202,-1.4718384265105,3.48162028308234e-12
PA3103,-1.1478858922321,3.48162028308234e-12
PA0975,1.82650880825248,3.69742670248181e-12
PA0074,1.17326780829411,4.64460232109297e-12
PA4918,1.45475697839437,5.17841108655658e-12
PA2491,-1.07223651051489,5.23049776502277e-12
PA0612,3.01671613517021,5.75118027401106e-12
PA4872,-1.12007224525419,6.02876622989253e-12
PA2018,2.11543286450981,6.11076107933574e-12
PA0643,2.51016579940176,6.72808359518801e-12
PA0091,1.24667734593229,6.7340278081998e-12
PA2454,1.7538335941616,7.92894778753151e-12
PA1618,-1.49593041575242,9.52966737488522e-12
PA3256,-1.2684188937508,1.20659010254264e-11
PA4748,1.39816147289885,1.27053953704183e-11
PA3471,-1.13995764529791,1.28577253257072e-11
PA4276,1.27764366435651,1.30401178153046e-11
PA3741,1.70180138871652,1.63688375265345e-11
PA1216,-2.59800378770552,1.79655709767693e-11
PA0580,1.19777648215399,2.72066591733743e-11
PA5182,1.36798891608614,2.99664751699586e-11
PA0300,-0.977096843286807,3.15764311718044e-11
PA2788,-1.47503857610543,3.65907512008787e-11
PA0642,3.81754735657282,3.68138123039029e-11
PA2622,-1.56231568537753,4.71970310668803e-11
PA4130,-1.0574527205493,5.06582783157788e-11
PA3019,1.20851315131088,5.17891476692066e-11
PA2371,-1.72529677247302,5.68144772059305e-11
PA3022,-1.15895403600501,5.77852045061209e-11
PA0632,2.8768842229922,5.82391920658819e-11
PA3743,1.21084101648213,6.02379462353414e-11
PA3637,1.00337846938519,6.35438837406385e-11
PA5201,1.18338521106203,8.36890170309597e-11
PA0674,1.37337126787312,8.5959610772631e-11
PA2850,1.57812768211045,8.9551658108689e-11
PA0989,2.18130036269054,1.01257302640688e-10
PA4191,1.17013996005816,1.01257302640688e-10
PA3436,1.90391198452715,1.02164085318642e-10
PA5286,1.78894996266528,1.19241903689234e-10
PA2305,-1.635421079936,1.19835441581815e-10
PA1872,-1.53110869805846,1.26356536882101e-10
PA5447,-1.05755604862514,1.36897306030161e-10
PA3041,-1.32842261090394,1.65651228431718e-10
PA0621,3.26348466503341,1.72589075323873e-10
PA1759,-1.09360237900335,1.72589075323873e-10
PA5118,1.24210052700574,1.74879630933334e-10
PA3476,-1.57893826479699,2.04806081484564e-10
PA0437,1.30245019361915,2.06626590791541e-10
PA3128,-1.7212766314735,2.07081001194366e-10
PA0080,1.37367942356624,2.84845268927128e-10
PA1899,-3.99356754707581,3.07277672379083e-10
PA5336,1.12855621679072,3.09730501919294e-10
PA4858,2.88818734939919,3.95160819159245e-10
PA1475,1.34194754154319,4.49019884502963e-10
PA1250,-1.23326044194712,4.96142781882539e-10
PA0608,1.20650837438532,5.09896350341852e-10
PA3339,1.18010611416981,5.21909752947458e-10
PA3477,-1.38292309121544,5.24353078819811e-10
PA2939,-2.68353457878444,6.14991592803199e-10
PA5362,-0.917063604409566,6.29485546506535e-10
PA4995,1.36976426056537,6.29824655817255e-10
PA1572,-1.19431706160903,6.31941423330603e-10
PA0250,-1.36942172373411,6.40325694769032e-10
PA3901,1.23303911161458,6.52294717963347e-10
PA4029,1.11110377006152,6.5269773090542e-10
PA0627,2.50124076342404,7.85707083856168e-10
PA4602,1.09272452548727,8.15769156889872e-10
PA0082,1.04828355268895,8.60978446467414e-10
PA5114,1.19821661098415,9.36226298078781e-10
PA1927,1.43334244761672,9.64235295791755e-10
PA3660,-1.25871442682259,1.05544021428677e-9
PA2832,-1.32475809166618,1.09695514618203e-9
PA0952,2.49034293398851,1.10374916425289e-9
PA5057,-1.32972079706514,1.12609514000796e-9
PA3887,-1.2009793069155,1.20638658789303e-9
PA0077,1.28164081610481,1.35078196055884e-9
PA4217,-1.61855860603281,1.40316762620307e-9
PA3676,1.03214537038381,1.4361044131305e-9
PA0196,-0.977180568778637,1.55884123990345e-9
PA1810,-1.09590127202587,1.69507477105287e-9
PA3969,-1.44556123694222,1.72646685175684e-9
PA5476,-1.66071485711016,1.74363572432807e-9
PA1215,-1.98832142106536,1.93830026106233e-9
PA2709,-0.967370036949385,1.9696787920884e-9
PA2764,-1.40224115113939,1.9696787920884e-9
PA0563,1.38177545594791,2.04610958552568e-9
PA4825,1.70461474538325,2.04610958552568e-9
PA3101,-1.51596706736851,2.05075693005811e-9
PA4630,1.43702087882088,2.05075693005811e-9
PA4826,2.9699974720132,2.12492679457225e-9
PA4840,1.57633603724375,2.25823686790654e-9
PA1272,1.26311392094697,2.44751610010003e-9
PA0438,1.43711026539572,2.9805769192868e-9
PA5471,1.30842613451759,3.00603759073015e-9
PA4318,1.23158230272404,3.4033282996928e-9
PA0473,-1.1250099542091,3.42957537921814e-9
PA0963,0.898185228404351,4.14799436388393e-9
PA4569,1.3918166283184,4.14799436388393e-9
PA1592,1.75432927896836,4.32509142957226e-9
PA0075,1.25213439891974,4.56236539656629e-9
PA5274,-1.12936288321141,4.71772568338539e-9
PA3687,-1.36043784027638,4.79191445552128e-9
