	protein1	protein2	cost
28261	PA14_26010	PA14_31530	0.5
28262	PA14_19430	PA14_38630	0.5
28263	PA14_25090	PA14_38630	0.5
28264	PA14_26010	PA14_38630	0.5
28265	PA14_19430	PA14_42090	0.5
28266	PA14_25090	PA14_42090	0.5
28267	PA14_26010	PA14_42090	0.5
28268	PA14_19430	PA14_63250	0.5
28269	PA14_25090	PA14_63250	0.5
28270	PA14_26010	PA14_63250	0.5
28280	PA14_19740	PA14_25080	0.5
28281	PA14_19740	PA14_42080	0.5
28282	PA14_25080	PA14_25080	0.5
28283	PA14_25080	PA14_42080	0.5
28284	PA14_25080	PA14_40980	0.5
28285	PA14_40980	PA14_42080	0.5
28286	PA14_25080	PA14_41950	0.5
28287	PA14_41950	PA14_42080	0.5
28288	PA14_42080	PA14_42080	0.5
28294	PA14_19430	PA14_25080	0.5
28295	PA14_19430	PA14_42080	0.5
28296	PA14_25080	PA14_25090	0.5
28297	PA14_25090	PA14_42080	0.5
28298	PA14_25080	PA14_26010	0.5
28299	PA14_26010	PA14_42080	0.5
28305	PA14_19430	PA14_27730	0.5
28306	PA14_25090	PA14_27730	0.5
28307	PA14_26010	PA14_27730	0.5
28312	PA14_13090	PA14_27730	0.5
28313	PA14_17880	PA14_27730	0.5
28314	PA14_27730	PA14_31530	0.5
28315	PA14_27730	PA14_38630	0.5
28316	PA14_27730	PA14_42090	0.5
28317	PA14_27730	PA14_63250	0.5
28329	PA14_19740	PA14_31580	0.5
28330	PA14_19740	PA14_35970	0.5
28331	PA14_19740	PA14_44590	0.5
28332	PA14_19740	PA14_49080	0.5
28333	PA14_19740	PA14_51120	0.5
28334	PA14_19740	PA14_52900	0.5
28335	PA14_19740	PA14_66040	0.5
28336	PA14_25080	PA14_31580	0.5
28337	PA14_25080	PA14_35970	0.5
28338	PA14_25080	PA14_44590	0.5
28339	PA14_25080	PA14_49080	0.5
28340	PA14_25080	PA14_51120	0.5
28341	PA14_25080	PA14_52900	0.5
28342	PA14_25080	PA14_66040	0.5
28343	PA14_31580	PA14_40980	0.5
28344	PA14_35970	PA14_40980	0.5
28345	PA14_40980	PA14_44590	0.5
28346	PA14_40980	PA14_49080	0.5
28347	PA14_40980	PA14_51120	0.5
28348	PA14_40980	PA14_52900	0.5
28349	PA14_40980	PA14_66040	0.5
28350	PA14_31580	PA14_41950	0.5
28351	PA14_35970	PA14_41950	0.5
28352	PA14_41950	PA14_44590	0.5
28353	PA14_41950	PA14_49080	0.5
28354	PA14_41950	PA14_51120	0.5
28355	PA14_41950	PA14_52900	0.5
28356	PA14_41950	PA14_66040	0.5
28357	PA14_31580	PA14_42080	0.5
28358	PA14_35970	PA14_42080	0.5
28359	PA14_42080	PA14_44590	0.5
28360	PA14_42080	PA14_49080	0.5
28361	PA14_42080	PA14_51120	0.5
28362	PA14_42080	PA14_52900	0.5
28363	PA14_42080	PA14_66040	0.5
28376	PA14_19740	PA14_27730	0.5
28377	PA14_25080	PA14_27730	0.5
28378	PA14_27730	PA14_40980	0.5
28379	PA14_27730	PA14_41950	0.5
28380	PA14_27730	PA14_42080	0.5
28387	PA14_19430	PA14_31580	0.5
28388	PA14_25090	PA14_31580	0.5
28389	PA14_26010	PA14_31580	0.5
28390	PA14_19430	PA14_35970	0.5
28391	PA14_25090	PA14_35970	0.5
28392	PA14_26010	PA14_35970	0.5
28393	PA14_19430	PA14_44590	0.5
28394	PA14_25090	PA14_44590	0.5
28395	PA14_26010	PA14_44590	0.5
28396	PA14_19430	PA14_49080	0.5
28397	PA14_25090	PA14_49080	0.5
28398	PA14_26010	PA14_49080	0.5
28399	PA14_19430	PA14_51120	0.5
28400	PA14_25090	PA14_51120	0.5
28401	PA14_26010	PA14_51120	0.5
28402	PA14_19430	PA14_52900	0.5
28403	PA14_25090	PA14_52900	0.5
28404	PA14_26010	PA14_52900	0.5
28405	PA14_19430	PA14_66040	0.5
28406	PA14_25090	PA14_66040	0.5
28407	PA14_26010	PA14_66040	0.5
28435	PA14_30810	PA14_51050	0.5
28436	PA14_44700	PA14_51050	0.5
28437	PA14_30810	PA14_64740	0.5
28438	PA14_44700	PA14_64740	0.5
28511	PA14_05840	PA14_27730	0.5
28536	PA14_17400	PA14_30810	0.5
28537	PA14_30810	PA14_71630	0.5
28538	PA14_17400	PA14_44700	0.5
28539	PA14_44700	PA14_71630	0.5
28544	PA14_19740	PA14_66350	0.5
28545	PA14_25080	PA14_66350	0.5
28546	PA14_40980	PA14_66350	0.5
28547	PA14_41950	PA14_66350	0.5
28548	PA14_42080	PA14_66350	0.5
28550	PA14_13090	PA14_25080	0.5
28551	PA14_13090	PA14_42080	0.5
28552	PA14_17880	PA14_25080	0.5
28553	PA14_17880	PA14_42080	0.5
28554	PA14_25080	PA14_31530	0.5
28555	PA14_31530	PA14_42080	0.5
28556	PA14_25080	PA14_38630	0.5
28557	PA14_38630	PA14_42080	0.5
28558	PA14_25080	PA14_42090	0.5
28559	PA14_42080	PA14_42090	0.5
28560	PA14_25080	PA14_63250	0.5
28561	PA14_42080	PA14_63250	0.5
28570	PA14_13090	PA14_66350	0.5
28571	PA14_17880	PA14_66350	0.5
28572	PA14_31530	PA14_66350	0.5
28573	PA14_38630	PA14_66350	0.5
28574	PA14_42090	PA14_66350	0.5
28575	PA14_63250	PA14_66350	0.5
28598	PA14_13090	PA14_31580	0.5
28599	PA14_17880	PA14_31580	0.5
28600	PA14_31530	PA14_31580	0.5
28601	PA14_31580	PA14_38630	0.5
28602	PA14_31580	PA14_42090	0.5
28603	PA14_31580	PA14_63250	0.5
28604	PA14_13090	PA14_35970	0.5
28605	PA14_17880	PA14_35970	0.5
28606	PA14_31530	PA14_35970	0.5
28607	PA14_35970	PA14_38630	0.5
28608	PA14_35970	PA14_42090	0.5
28609	PA14_35970	PA14_63250	0.5
28610	PA14_13090	PA14_44590	0.5
28611	PA14_17880	PA14_44590	0.5
28612	PA14_31530	PA14_44590	0.5
28613	PA14_38630	PA14_44590	0.5
28614	PA14_42090	PA14_44590	0.5
28615	PA14_44590	PA14_63250	0.5
28616	PA14_13090	PA14_49080	0.5
28617	PA14_17880	PA14_49080	0.5
28618	PA14_31530	PA14_49080	0.5
28619	PA14_38630	PA14_49080	0.5
28620	PA14_42090	PA14_49080	0.5
28621	PA14_49080	PA14_63250	0.5
28622	PA14_13090	PA14_51120	0.5
28623	PA14_17880	PA14_51120	0.5
28624	PA14_31530	PA14_51120	0.5
28625	PA14_38630	PA14_51120	0.5
28626	PA14_42090	PA14_51120	0.5
28627	PA14_51120	PA14_63250	0.5
28628	PA14_13090	PA14_52900	0.5
28629	PA14_17880	PA14_52900	0.5
28630	PA14_31530	PA14_52900	0.5
28631	PA14_38630	PA14_52900	0.5
28632	PA14_42090	PA14_52900	0.5
28633	PA14_52900	PA14_63250	0.5
28634	PA14_13090	PA14_66040	0.5
28635	PA14_17880	PA14_66040	0.5
28636	PA14_31530	PA14_66040	0.5
28637	PA14_38630	PA14_66040	0.5
28638	PA14_42090	PA14_66040	0.5
28639	PA14_63250	PA14_66040	0.5
28652	PA14_19430	PA14_66350	0.5
28653	PA14_25090	PA14_66350	0.5
28654	PA14_26010	PA14_66350	0.5
28669	PA14_05840	PA14_31580	0.5
28670	PA14_05840	PA14_35970	0.5
28671	PA14_05840	PA14_44590	0.5
28672	PA14_05840	PA14_49080	0.5
28673	PA14_05840	PA14_51120	0.5
28674	PA14_05840	PA14_52900	0.5
28675	PA14_05840	PA14_66040	0.5
28688	PA14_05840	PA14_66350	0.5
28690	PA14_05840	PA14_19740	0.5
28691	PA14_05840	PA14_25080	0.5
28692	PA14_05840	PA14_40980	0.5
28693	PA14_05840	PA14_41950	0.5
28694	PA14_05840	PA14_42080	0.5
